"","T_MAPCODE","tar_sa","tar_gbf","ext_veg","ext_vegpa","ext_vegrempa_inclinv","ext_vegrempa_exclinv","prppa","ext_tar_sa","ext_tar_gbf","epl_base","epl_nat","epl_nat_exclinv"
"311","SVkd4",16,30,762.4696,762.4436,762.2284,762.2284,0.999965900279827,121.995136,228.74088,"WP","WP","WP"
"312","SKs1",26,30,508.0212,2.2024,2.156,2.156,0.00433525215089449,132.085512,152.40636,"NP","NP","NP"
"313","SKs2",26,30,536.1004,0,0,0,0,139.386104,160.83012,"NP","NP","NP"
"314","SKs3",26,30,331.4,0,0,0,0,86.164,99.42,"NP","NP","NP"
"315","SKs4",26,30,449.044,0,0,0,0,116.75144,134.7132,"NP","NP","NP"
"316","SKr14",28,30,365.5632,0,0,0,0,102.357696,109.66896,"NP","NP","NP"
"317","SKn2",24,30,539.3324,0,0,0,0,129.439776,161.79972,"NP","NP","NP"
"318","SKs5",26,30,566.1096,0,0,0,0,147.188496,169.83288,"NP","NP","NP"
"319","SKs6",26,30,123.302,0,0,0,0,32.05852,36.9906,"NP","NP","NP"
"320","SKr1",28,30,1200.4012,860.1884,859.864,859.864,0.716584088719671,336.112336,360.12036,"WP","WP","WP"
"321","SKr10",28,30,127.5696,0,0,0,0,35.719488,38.27088,"NP","NP","NP"
"322","SKr11",28,30,129.2752,61.3284,61.002,61.002,0.474401896110004,36.197056,38.78256,"WP","WP","WP"
"323","SKr12",28,30,612.1464,0.0668,0.0652,0.0652,0.000109124222571594,171.400992,183.64392,"NP","NP","NP"
"324","SKr13",28,30,722.676,0.1452,0.1452,0.1452,0.00020091991431845,202.34928,216.8028,"NP","NP","NP"
"325","SKr15",28,30,241.7792,0,0,0,0,67.698176,72.53376,"NP","NP","NP"
"326","SKr16",28,30,432.8448,0,0,0,0,121.196544,129.85344,"NP","NP","NP"
"327","SKr17",28,30,260.7456,0,0,0,0,73.008768,78.22368,"NP","NP","NP"
"328","SKr18",34,30,817.7808,70.8404,70.788,70.788,0.0866251689939407,278.045472,245.33424,"PP","PP","PP"
"329","SKr19",18,30,371.9632,74.0144,73.9772,73.9772,0.198983125212387,66.953376,111.58896,"WP","WP","WP"
"330","SKr2",28,30,192.1136,47.7448,47.3088,47.3088,0.248523790090863,53.791808,57.63408,"MP","MP","MP"
"331","SKr3",28,30,170.7744,170.7744,170.7376,170.7376,1,47.816832,51.23232,"WP","WP","WP"
"332","SKr4",28,30,836.2248,137.0552,136.9984,136.9984,0.163897554820187,234.142944,250.86744,"MP","MP","MP"
"333","SKr5",28,30,18.3652,15.3936,15.3936,15.3936,0.838193975562477,5.142256,5.50956,"WP","WP","WP"
"334","SKr6",28,30,65.8728,65.8728,65.8232,65.8232,1,18.444384,19.76184,"WP","WP","WP"
"335","SKr7",28,30,327.1496,119.0316,118.9416,118.9416,0.363844553072967,91.601888,98.14488,"WP","WP","WP"
"336","SKr8",28,30,50.5576,50.5576,50.5104,50.5104,1,14.156128,15.16728,"WP","WP","WP"
"337","SKr9",34,30,3.2652,3.2652,3.2652,3.2652,1,1.110168,0.97956,"WP","WP","WP"
"338","SVcb11",24,30,3285.6364,299.0448,267.9868,265.858,0.0910157922526059,788.552736,985.69092,"PP","PP","PP"
"339","SVk1",16,30,15431.3308,15.4296,4.2996,4.2996,0.000999887838578381,2469.012928,4629.39924,"NP","NP","NP"
"340","SVk18",16,30,999.6036,0,0,0,0,159.936576,299.88108,"NP","NP","NP"
"341","SVk2",16,30,4206.5528,25.3444,22.1576,22.1576,0.00602498083466348,673.048448,1261.96584,"NP","NP","NP"
"342","SVk17",16,30,7235.3844,26.4168,24.1736,24.1736,0.00365105688095853,1157.661504,2170.61532,"NP","NP","NP"
"343","AZa5",31,30,3235.1676,479.7744,199.6604,199.376,0.14829970478191,1002.901956,970.55028,"PP","PP","PP"
"344","FOa1",36,30,132.5436,53.4188,50.2616,49.9864,0.40302813564744,47.715696,39.76308,"WP","WP","WP"
"345","FOz8",36,30,265.4912,111.778,108.9044,108.8944,0.421023371019454,95.576832,79.64736,"WP","WP","WP"
"346","FOz4",22,30,379.0448,216.9372,189.8448,182.8372,0.572326015288958,83.389856,113.71344,"WP","WP","WP"
"347","FOz9",36,30,68.7992,32.3496,32.3484,31.232,0.470203141896999,24.767712,20.63976,"WP","WP","WP"
"348","CB1",25,30,2355.7416,433.8392,363.4108,361.5228,0.184162473507281,588.9354,706.72248,"MP","MP","MP"
"349","Gd10",27,30,78.8828,55.1024,53.1668,53.1644,0.698535041859569,21.298356,23.66484,"WP","WP","WP"
"350","Gd5",27,30,1218.5104,486.216,478.8352,475.9492,0.399024907789051,328.997808,365.55312,"WP","WP","WP"
"351","Gd6",27,30,17.5824,13.5104,13.4884,13.1032,0.768404768404768,4.747248,5.27472,"WP","WP","WP"
"352","Gd7",27,30,1343.4028,1069.3428,1068.6548,1067.7696,0.795995661167298,362.718756,403.02084,"WP","WP","WP"
"353","Gh10",24,30,25965.724,415.7976,178.2516,178.054,0.0160133258752962,6231.77376,7789.7172,"PP","NP","NP"
"354","Gh11",24,30,923.5568,3.3916,3.3864,3.3864,0.00367232421438508,221.653632,277.06704,"NP","NP","NP"
"355","Gh12",24,30,329.4952,0.2512,0.2172,0.2172,0.000762378329031804,79.078848,98.84856,"NP","NP","NP"
"356","Gh15",24,30,8598.4796,660.7764,579.9928,576.3308,0.0768480511368545,2063.635104,2579.54388,"PP","PP","PP"
"357","Gh5",24,30,4949.5984,161.4116,72.5672,72.5356,0.0326110498176983,1187.903616,1484.87952,"PP","PP","PP"
"358","Gh6",24,30,16012.9004,503.6336,350.8104,349.4868,0.0314517412473258,3843.096096,4803.87012,"PP","PP","PP"
"359","Gh7",28,30,1571.9508,76.2432,67.8852,67.2444,0.0485022813691115,440.146224,471.58524,"PP","PP","PP"
"360","Gh8",28,30,80.4668,14.1976,12.4564,12.3872,0.176440469858376,22.530704,24.14004,"MP","MP","MP"
"361","Gh9",24,30,7074.3048,185.6532,168.4476,168.4476,0.0262433136892829,1697.833152,2122.29144,"PP","PP","PP"
"362","Gm10",24,30,1093.2008,80.1192,46.2268,45.8992,0.0732886401107646,262.368192,327.96024,"PP","PP","PP"
"363","Gm11",24,30,10508.8704,239.0444,183.178,181.9136,0.022746916738073,2522.128896,3152.66112,"PP","PP","PP"
"364","Gm12",24,30,12772.3408,707.9652,363.8236,359.004,0.0554295575952687,3065.361792,3831.70224,"PP","PP","PP"
"365","Gm13",27,30,3927.052,209.5532,147.0424,146.6404,0.0533614528149869,1060.30404,1178.1156,"PP","PP","PP"
"366","Gm14",27,30,3750.41,524.6272,478.9848,473.0368,0.139885292541349,1012.6107,1125.123,"MP","PP","PP"
"367","Gm15",24,30,4216.8496,339.544,215.03,209.428,0.0805207755097549,1012.043904,1265.05488,"PP","PP","PP"
"368","Gm16",24,30,6124.0568,157.2732,96.862,96.1108,0.0256812118398379,1469.773632,1837.21704,"PP","PP","PP"
"369","Gm17",27,30,1087.416,635.7056,473.8984,467.2928,0.584602029030288,293.60232,326.2248,"WP","WP","WP"
"370","Gm19",24,30,1380.852,18.4548,12.6732,12.6672,0.0133647921717896,331.40448,414.2556,"PP","NP","NP"
"371","Gm20",24,30,20.3384,0,0,0,0,4.881216,6.10152,"NP","NP","NP"
"372","Gm21",24,30,1551.0772,195.284,167.0936,166.2564,0.125902179465987,372.258528,465.32316,"MP","PP","PP"
"373","Gm22",27,30,939.1744,34.0816,28.2592,24.1892,0.0362888937347526,253.577088,281.75232,"PP","PP","PP"
"374","Gm23",27,30,1373.9432,372.0572,333.2668,323.1276,0.270795182799405,370.964664,412.18296,"WP","MP","MP"
"375","Gm24",27,30,10.0012,7.566,7.3124,7.1668,0.756509218893733,2.700324,3.00036,"WP","WP","WP"
"376","Gm25",27,30,430.6344,18.1104,11.0128,11.0084,0.0420551632661023,116.271288,129.19032,"PP","PP","PP"
"377","Gm26",27,30,260.5796,116.11,114.3456,113.41,0.445583614373497,70.356492,78.17388,"WP","WP","WP"
"378","Gm27",24,30,268.0664,73.058,71.6392,70.432,0.272536953530916,64.335936,80.41992,"WP","WP","WP"
"379","Gm28",24,30,93.8756,28.752,28.2948,27.834,0.306277669596785,22.530144,28.16268,"WP","WP","WP"
"380","Gm29",24,30,523.222,137.6028,136.7704,136.7704,0.262991235078036,125.57328,156.9666,"WP","WP","WP"
"381","Gm3",24,30,14029.2096,262.352,127.4596,125.246,0.0187004120317655,3367.010304,4208.76288,"PP","NP","NP"
"382","Gm30",24,30,3858.6324,373.1628,297.4932,295.2156,0.0967085644126142,926.071776,1157.58972,"PP","PP","PP"
"383","Gm31",24,30,1048.1812,436.8036,348.6736,346.2276,0.416725276125922,251.563488,314.45436,"WP","WP","WP"
"384","Gm4",24,30,11278.5632,898.9676,586.9992,581.1792,0.0797058618246693,2706.855168,3383.56896,"PP","PP","PP"
"385","Gm6",24,30,9891.6532,142.062,39.0864,39.0508,0.0143618055675466,2373.996768,2967.49596,"PP","NP","NP"
"386","Gm7",28,30,30.0484,0.49,0.45,0.45,0.0163070246668708,8.413552,9.01452,"PP","PP","PP"
"387","Gm8",24,30,14492.9396,264.3372,125.5064,125.2452,0.0182390327494361,3478.305504,4347.88188,"PP","NP","NP"
"388","Gm9",24,30,1313.2256,104.3944,58.3808,58.2284,0.0794946428092782,315.174144,393.96768,"PP","PP","PP"
"389","Gs1",23,30,539.2132,18.0424,17.72,17.6824,0.0334606051928996,124.019036,161.76396,"PP","PP","PP"
"390","Gs2",27,30,1058.0116,216.9692,203.1584,203.1584,0.205072609789912,285.663132,317.40348,"MP","MP","MP"
"391","Gs3",23,30,1742.278,179.1344,166.1932,158.7008,0.102816198103862,400.72394,522.6834,"PP","PP","PP"
"392","Gs4",24,30,7440.426,272.8984,181.4532,178.0356,0.0366777923737162,1785.70224,2232.1278,"PP","PP","PP"
"393","Gs7",23,30,4653.6068,16.95,12.1508,12.1508,0.00364233609079306,1070.329564,1396.08204,"NP","NP","NP"
"394","Gs8",23,30,2862.4156,181.0776,132.58,132.1116,0.0632604154337337,658.355588,858.72468,"PP","PP","PP"
"395","CB2",25,30,1122.15,222.344,186.8424,186.7568,0.198141068484605,280.5375,336.645,"MP","MP","MP"
"396","SVcb1",19,30,6651.4568,1280.0156,1116.6516,1116.6516,0.192441391185161,1263.776792,1995.43704,"WP","MP","MP"
"397","SVcb10",24,30,1442.1488,79.2656,68.1896,67.9888,0.0549635377431233,346.115712,432.64464,"PP","PP","PP"
"398","SVcb12",19,30,17384.092,1499.8948,1193.7468,1193.7424,0.0862797320676858,3302.97748,5215.2276,"PP","PP","PP"
"399","SVcb13",24,30,2066.3028,427.3144,396.8984,396.7636,0.206801442654,495.912672,619.89084,"MP","MP","MP"
"400","SVcb14",19,30,759.892,95.95,64.1276,64.1276,0.126267943339317,144.37948,227.9676,"MP","PP","PP"
"401","SVcb15",19,30,7198.2152,546.6728,395.1656,395.1656,0.0759456038491319,1367.660888,2159.46456,"PP","PP","PP"
"402","SVcb16",19,30,12078.146,1715.886,1571.4564,1571.4564,0.142065346784184,2294.84774,3623.4438,"MP","MP","MP"
"403","SVcb17",24,30,8901.2312,1860.6164,1792.5144,1792.0208,0.209029105996033,2136.295488,2670.36936,"MP","MP","MP"
"404","SVcb18",19,30,6496.36,708.1908,633.6272,633.6272,0.109013478317088,1234.3084,1948.908,"MP","MP","MP"
"405","SVcb19",19,30,12021.6592,1130.736,1048.3356,1048.3356,0.094058231163299,2284.115248,3606.49776,"PP","PP","PP"
"406","SVcb2",19,30,1107.4924,279.8092,277.8712,277.8712,0.252651124287625,210.423556,332.24772,"WP","WP","WP"
"407","SVcb20",19,30,10110.8896,495.72,348.674,348.4964,0.0490283268447516,1921.069024,3033.26688,"PP","PP","PP"
"408","SVcb21",24,30,4147.7392,769.786,647.086,587.7144,0.185591707405326,995.457408,1244.32176,"MP","MP","MP"
"409","SVcb22",36,30,0.602,0.602,0.5316,0.4716,1,0.21672,0.1806,"WP","WP","WP"
"410","SVcb23",19,30,4445.3284,149.934,125.7104,121.928,0.0337284417502203,844.612396,1333.59852,"PP","PP","PP"
"411","SVcb24",24,30,666.91,83.258,74.4736,74.4736,0.124841432877,160.0584,200.073,"MP","PP","PP"
"412","SVcb25",24,30,891.324,144.6168,141.3864,141.2584,0.162249417720156,213.91776,267.3972,"MP","MP","MP"
"413","SVcb26",24,30,2000.0168,271.8056,262.9276,261.108,0.135901658426069,480.004032,600.00504,"MP","MP","MP"
"414","SVcb27",19,30,2522.834,52.02,40.026,40.026,0.0206196681985418,479.33846,756.8502,"PP","PP","PP"
"415","SVcb28",24,30,2316.1448,260.8492,238.6696,238.5672,0.112622146940036,555.874752,694.84344,"PP","PP","PP"
"416","SVcb6",19,30,2285.098,75.0208,41.394,41.394,0.0328304519105964,434.16862,685.5294,"PP","PP","PP"
"417","SVcb7",24,30,491.3284,10.3584,9.46,9.46,0.0210824369199908,117.918816,147.39852,"PP","PP","PP"
"418","SVcb8",19,30,1833.3936,87.7784,36.1608,36.15,0.0478775534069716,348.344784,550.01808,"PP","PP","PP"
"419","SVcb9",24,30,3104.532,466.3652,443.0276,439.006,0.150220774016824,745.08768,931.3596,"MP","MP","MP"
"420","SVl1",19,30,2090.6908,980.7336,831.0872,823.4916,0.46909547791572,397.231252,627.20724,"WP","WP","WP"
"421","SVl10",19,30,942.7836,406.4452,387.29,387.0968,0.431111869150036,179.128884,282.83508,"WP","WP","WP"
"422","SVl11",24,30,630.6152,496.1364,493.128,493.128,0.786749827787215,151.347648,189.18456,"WP","WP","WP"
"423","SVl12",24,30,464.2436,105.2928,101.7064,101.7064,0.226805065271767,111.418464,139.27308,"MP","MP","MP"
"424","SVl13",24,30,109.4832,32.476,27.5328,26.6508,0.296629985239744,26.275968,32.84496,"WP","WP","WP"
"425","SVl14",19,30,1381.2076,575.028,471.6164,468.9556,0.416322644039897,262.429444,414.36228,"WP","WP","WP"
"426","SVl15",24,30,1345.808,1330.9564,1329.1212,1329.1212,0.988964547691796,322.99392,403.7424,"WP","WP","WP"
"427","SVl16",24,30,1303.518,185.246,178.1616,172.474,0.142112345207354,312.84432,391.0554,"MP","MP","MP"
"428","SVl17",24,30,127.574,1.7092,0.886,0.886,0.0133977142677975,30.61776,38.2722,"PP","NP","NP"
"429","SVl18",19,30,1124.394,220.7564,207.4408,207.412,0.196333669514423,213.63486,337.3182,"WP","MP","MP"
"430","SVl19",19,30,152.9456,29.754,29.0792,28.9068,0.194539757927001,29.059664,45.88368,"WP","WP","MP"
"431","SVl2",19,30,183.8536,181.9316,181.9064,181.9064,0.989546030102212,34.932184,55.15608,"WP","WP","WP"
"432","SVl20",19,30,1645.1236,353.9092,227.0668,219.6624,0.215126206930592,312.573484,493.53708,"WP","MP","MP"
"433","SVl21",19,30,335.0944,138.6872,136.374,134.8688,0.413875015518015,63.667936,100.52832,"WP","WP","WP"
"434","SVl22",19,30,4770.6844,563.6216,519.8688,512.878,0.118142713443799,906.430036,1431.20532,"MP","MP","MP"
"435","SVl23",19,30,7094.574,1573.024,1477.4416,1456.444,0.221722121722883,1347.96906,2128.3722,"WP","WP","WP"
"436","SVl24",19,30,694.624,0,0,0,0,131.97856,208.3872,"NP","NP","NP"
"437","SVl25",25,30,660.6212,134.062,114.0636,114.0628,0.202933239199711,165.1553,198.18636,"MP","MP","MP"
"438","SVl26",25,30,703.61,48.55,46.7884,46.7884,0.0690012933301118,175.9025,211.083,"PP","PP","PP"
"439","SVl27",24,30,539.908,107.8216,92.7252,89.7,0.199703653214992,129.57792,161.9724,"MP","MP","MP"
"440","SVl3",19,30,15822.7516,6303.2856,6229.9996,6229.5724,0.398368486047648,3006.322804,4746.82548,"WP","WP","WP"
"441","SVl4",19,30,786.1288,486.0096,485.1976,485.1976,0.61823151626044,149.364472,235.83864,"WP","WP","WP"
"442","SVl5",19,30,2855.0596,2254.9828,2249.0444,2249.0444,0.789819869259472,542.461324,856.51788,"WP","WP","WP"
"443","SVl6",19,30,760.2468,760.034,757.4888,757.454,0.999720090896798,144.446892,228.07404,"WP","WP","WP"
"444","SVl7",19,30,323.4536,22.8992,22.6952,22.6952,0.0707959348728844,61.456184,97.03608,"PP","PP","PP"
"445","SVl8",19,30,3399.5656,147.9504,109.2308,104.5992,0.0435203838984604,645.917464,1019.86968,"PP","PP","PP"
"446","SVl9",19,30,3562.4732,218.806,111.5612,98.7896,0.0614196901186513,676.869908,1068.74196,"PP","PP","PP"
"447","SVmp1",19,30,8797.3088,1095.156,1029.6148,1029.6128,0.124487616030939,1671.488672,2639.19264,"MP","MP","MP"
"448","SVmp2",19,30,2785.7408,835.5156,827.9612,827.9364,0.299925822244482,529.290752,835.72224,"WP","WP","WP"
"449","SVmp3",19,30,277.0592,277.0536,276.8724,276.83,0.99997978771324,52.641248,83.11776,"WP","WP","WP"
"450","SVmp4",19,30,2805.3784,2798.3128,2793.1508,2793.1508,0.997481409281543,533.021896,841.61352,"WP","WP","WP"
"451","SVmp5",19,30,5317.0804,3735.904,3724.0572,3724.0572,0.702623191479294,1010.245276,1595.12412,"WP","WP","WP"
"452","SVmp6",19,30,3154.1124,1185.3232,1181.2848,1181.2848,0.375802460305473,599.281356,946.23372,"WP","WP","WP"
"453","SVmp7",19,30,2225.5536,1438.9028,1430.9208,1430.9208,0.646537023417455,422.855184,667.66608,"WP","WP","WP"
"454","SVmp8",19,30,310.438,310.438,310.2836,310.2836,1,58.98322,93.1314,"WP","WP","WP"
"455","SVs1",25,30,2706.5924,12.6572,11.5064,11.4856,0.00467643373268912,676.6481,811.97772,"NP","NP","NP"
"456","SVs2",25,30,2215.6012,66.5624,57.2596,57.1996,0.0300425906972789,553.9003,664.68036,"PP","PP","PP"
"457","SVs3",25,30,1533.5048,36.6192,23.6392,22.8052,0.0238794166148029,383.3762,460.05144,"PP","PP","PP"
"458","SVcb29",19,30,388.1768,97.9996,96.5044,96.5044,0.252461249616154,73.753592,116.45304,"WP","WP","WP"
"459","SVcb4",24,30,4122.4704,295.7732,276.6152,276.2148,0.0717465915583045,989.392896,1236.74112,"PP","PP","PP"
"460","Gh13",24,30,3766.2224,56.1984,54.3676,54.3676,0.0149216891705599,903.893376,1129.86672,"PP","PP","PP"
"461","SVcb5",24,30,367.1036,347.3172,342.6632,342.6632,0.946101318537873,88.104864,110.13108,"WP","WP","WP"
"462","Gh14",24,30,9187.4096,76.26,58.5316,58.53,0.00830048983556802,2204.978304,2756.22288,"NP","NP","NP"
"463","SVcb3",19,30,1332.022,33.6308,18.9156,18.7072,0.0252479313404734,253.08418,399.6066,"PP","PP","PP"
"464","Gm2",28,30,720.6988,0,0,0,0,201.795664,216.20964,"NP","NP","NP"
"465","SVk3",16,30,1366.9324,27.4284,12.2484,12.2484,0.0200656594283668,218.709184,410.07972,"PP","PP","PP"
